,index,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,0,602,602 Marianna (A906 DJ),10:52,12:10,13:28,02:36,23:20:33,"+12 58'08""",12.3,2.31,1.50,134.96,89.48,-44.21,20231102
1,1,678,678 Fredegundis (A909 BQ),11:39,12:44,13:49,02:09,23:54:49,"+11 06'17""",12.2,2.03,1.15,142.97,82.92,-49.40,20231102
2,2,120,120 Lachesis (A872 GB),12:27,13:52,15:18,02:51,01:03:20,"+14 10'01""",12.8,3.28,2.33,159.93,66.54,-48.75,20231102
3,3,639,639 Latona (A907 OA),12:09,14:07,16:05,03:56,01:18:08,"+21 36'40""",12.3,2.75,1.79,162.33,60.43,-41.00,20231102
4,4,123,123 Brunhild (A872 OB),12:24,14:20,16:16,03:51,01:30:31,"+20 58'14""",12.3,2.43,1.46,165.24,57.95,-41.16,20231102
5,5,135,135 Hertha (A874 DA),13:04,14:24,15:45,02:41,01:35:23,"+13 20'30""",10.9,2.16,1.18,167.61,59.79,-48.35,20231102
6,6,122,122 Gerda (A872 OA),13:44,14:36,15:27,01:43,01:46:57,"+09 39'54""",12.4,3.25,2.27,169.26,58.83,-51.04,20231102
7,7,509,509 Iolanda (A903 HD),13:37,15:01,16:25,02:47,02:12:06,"+13 48'19""",12.1,2.78,1.79,176.51,51.48,-44.87,20231102
8,8,127,127 Johanna (A872 VB),13:34,15:04,16:34,03:00,02:14:59,"+14 58'25""",12.1,2.74,1.74,177.24,50.37,-43.51,20231102
9,9,343,343 Ostara (A892 VA),13:44,15:06,16:28,02:44,02:16:53,"+13 33'46""",13.0,1.86,0.871,177.56,50.53,-44.57,20231102
10,10,595,595 Polyxena (A906 FL),13:12,15:10,17:08,03:56,02:21:10,"+21 35'10""",12.6,3.22,2.23,172.79,46.61,-36.90,20231102
11,11,21,21 Lutetia (A852 VA),14:18,15:27,16:35,02:17,02:37:50,"+11 35'23""",9.97,2.24,1.24,175.96,46.81,-43.73,20231102
12,12,447,447 Valentine (A899 UD),14:20,15:28,16:35,02:14,02:38:59,"+11 24'57""",12.9,2.85,1.86,175.64,46.64,-43.72,20231102
13,13,93,93 Minerva (A867 QA),13:32,15:42,17:51,04:18,02:52:55,"+25 19'50""",12.1,2.94,1.97,167.47,38.58,-30.18,20231102
14,14,119,119 Althaea (A872 GA),14:21,15:42,17:02,02:40,02:52:53,"+13 16'40""",11.3,2.39,1.40,173.42,42.77,-40.26,20231102
15,15,132,132 Aethra (A873 LA),13:26,15:59,18:32,05:06,03:10:10,"+39 10'01""",12.6,2.51,1.58,153.49,34.14,-16.46,20231102
16,16,241,241 Germania (A884 RA),14:08,16:15,18:22,04:13,03:26:30,"+24 23'04""",12.0,2.86,1.90,162.70,31.39,-26.61,20231102
17,17,139,139 Juewa (A874 TA),13:54,16:17,18:40,04:46,03:28:16,"+31 31'22""",12.4,2.93,1.99,157.82,30.04,-20.71,20231102
18,18,409,409 Aspasia (A895 XC),14:15,16:17,18:20,04:04,03:28:34,"+22 54'22""",11.6,2.76,1.80,163.02,31.32,-27.47,20231102
19,19,154,154 Bertha (A875 VD),14:07,16:22,18:37,04:29,03:33:18,"+27 30'35""",12.8,3.41,2.46,159.68,29.29,-23.22,20231102
20,20,144,144 Vibilia (A875 LA),15:00,16:33,18:06,03:06,03:44:29,"+15 34'31""",10.6,2.11,1.15,161.08,30.62,-30.41,20231102
21,21,895,895 Helio (A918 NA),14:05,16:39,19:13,05:08,03:50:15,"+40 46'08""",12.7,2.79,1.90,147.98,27.04,-10.70,20231102
22,22,363,363 Padua (A893 FD),15:06,16:55,18:44,03:38,04:06:25,"+19 07'10""",12.9,2.62,1.68,155.60,24.35,-24.19,20231102
23,23,182,182 Elsa (A878 CC),15:13,16:56,18:39,03:26,04:07:45,"+17 40'00""",11.4,1.97,1.02,155.42,24.73,-24.94,20231102
24,24,481,481 Emita (A902 CB),15:17,16:56,18:35,03:18,04:07:42,"+16 47'32""",12.0,2.31,1.37,155.48,25.17,-25.53,20231102
25,25,24,24 Themis (A853 GA),15:02,16:59,18:57,03:55,04:10:32,"+21 25'28""",11.9,3.10,2.17,154.28,22.55,-21.91,20231102
26,26,503,503 Evelyn (A903 BL),15:18,17:09,18:59,03:41,04:20:05,"+19 30'28""",12.8,2.40,1.48,152.35,21.29,-21.53,20231102
27,27,70,70 Panopaea (A861 JA),15:04,17:11,19:19,04:14,04:22:36,"+24 36'08""",12.4,2.73,1.82,150.85,18.94,-17.71,20231102
28,28,65,65 Cybele (A861 EB),15:33,17:12,18:52,03:19,04:23:52,"+16 54'08""",12.7,3.82,2.91,151.61,21.81,-22.54,20231102
29,29,113,113 Amalthea (A871 EA),15:49,17:16,18:43,02:53,04:27:17,"+14 23'19""",12.2,2.54,1.63,150.71,22.64,-23.49,20231102
30,30,346,346 Hermentaria (A892 WC),15:59,17:25,18:52,02:53,04:36:54,"+14 22'37""",11.2,2.55,1.65,148.39,20.89,-21.65,20231102
31,31,306,306 Unitas (A891 EA),16:28,17:28,18:27,01:58,04:39:12,"+10 27'33""",12.4,2.41,1.52,147.32,23.34,-23.54,20231102
32,32,358,358 Apollonia (A893 EC),15:51,17:32,19:12,03:21,04:43:21,"+17 05'11""",12.8,2.44,1.55,146.95,17.94,-18.78,20231102
33,33,95,95 Arethusa (A867 WA),15:33,17:36,19:39,04:06,04:47:49,"+23 09'58""",12.1,2.63,1.75,145.48,13.89,-14.23,20231102
34,34,758,758 Mancunia (A912 KB),16:01,17:39,19:17,03:16,04:50:25,"+16 34'22""",12.7,2.72,1.84,145.25,17.01,-17.73,20231102
35,35,480,480 Hansa (A901 KB),15:54,17:47,19:39,03:44,04:58:06,"+19 58'15""",12.2,2.54,1.67,143.40,13.41,-14.25,20231102
36,36,498,498 Tokio (A902 XA),16:47,18:24,20:01,03:13,05:35:20,"+16 18'40""",12.9,2.50,1.70,134.48,11.70,-8.94,20231102
37,37,389,389 Industria (A894 EE),16:08,18:27,20:47*,04:18,05:39:02,"+29 32'41""",12.4,2.69,1.91,133.21,2.352,-1.19,20231102
38,38,37,37 Fides (A855 TB),16:44,18:59,21:14*,03:42,06:10:35,"+27 34'42""",10.8,2.18,1.44,126.48,5.454,3.79,20231102
39,39,704,704 Interamnia (A910 TC),16:36,19:02,21:28*,03:50,06:13:49,"+33 17'43""",11.1,2.77,2.07,125.39,8.166,7.11,20231102
40,40,776,776 Berbericia (A914 BE),17:14,19:14,21:13*,03:12,06:25:35,"+22 01'19""",12.0,2.58,1.90,123.00,10.65,4.19,20231102
41,41,9,9 Metis (A848 HA),17:13,19:19,21:24*,03:13,06:30:30,"+23 51'08""",9.73,2.09,1.39,121.97,10.75,6.03,20231102
42,42,4,4 Vesta (A807 FA),17:31,19:20,21:09*,02:55,06:31:39,"+19 02'17""",7.46,2.57,1.91,121.35,13.62,4.08,20231102
43,43,48,48 Doris (A857 SA),18:02,19:32,21:02*,02:24,06:44:02,"+14 53'59""",12.2,2.91,2.31,117.89,18.62,4.85,20231102
44,44,258,258 Tyche (A886 JA),19:09,19:32,19:54,00:45,06:43:26,"+07 44'59""",12.4,2.39,1.77,116.72,24.18,1.48,20231102
45,45,5,5 Astraea (A845 XA),17:57,19:34,21:11*,02:29,06:45:50,"+16 21'29""",11.0,2.29,1.65,117.67,17.92,5.89,20231102
46,46,92,92 Undina (A867 NA),18:38,20:32*,22:26*,01:48,07:44:01,"+20 25'36""",12.6,3.32,2.92,104.68,27.84,20.13,20231102
47,47,128,128 Nemesis (A872 WA),19:21,21:20*,23:20*,01:05,08:32:30,"+22 02'54""",12.8,2.67,2.41,93.97,38.02,31.27,20231102
48,48,78,78 Diana (A863 EA),19:18,21:31*,23:44*,01:08,08:43:20,"+26 46'03""",12.7,2.13,1.84,92.76,39.21,35.03,20231102
49,49,71,71 Niobe (A861 PA),19:15,21:38*,00:01*,01:11,08:50:11,"+31 25'34""",12.5,2.92,2.70,92.53,39.93,37.58,20231102
50,0,602,602 Marianna (A906 DJ),10:48,12:06,13:24,02:36,23:20:26,"+12 57'49""",12.4,2.31,1.50,134.00,101.7,-44.20,20231103
51,1,678,678 Fredegundis (A909 BQ),11:36,12:40,13:44,02:08,23:54:40,"+11 00'51""",12.2,2.03,1.16,141.97,95.52,-49.47,20231103
52,2,120,120 Lachesis (A872 GB),12:23,13:48,15:13,02:50,01:02:40,"+14 06'16""",12.8,3.28,2.33,158.82,79.42,-48.83,20231103
53,3,639,639 Latona (A907 OA),12:05,14:03,16:00,03:55,01:17:27,"+21 29'53""",12.3,2.75,1.79,161.49,73.09,-41.13,20231103
54,4,123,123 Brunhild (A872 OB),12:19,14:15,16:10,03:51,01:29:41,"+20 52'41""",12.3,2.43,1.46,164.39,70.73,-41.29,20231103
55,5,135,135 Hertha (A874 DA),12:59,14:20,15:40,02:40,01:34:31,"+13 15'58""",10.9,2.16,1.18,166.43,72.82,-48.47,20231103
56,6,122,122 Gerda (A872 OA),13:41,14:31,15:22,01:41,01:46:14,"+09 35'39""",12.4,3.25,2.28,168.08,71.84,-51.17,20231103
57,7,509,509 Iolanda (A903 HD),13:34,14:56,16:19,02:45,02:11:23,"+13 38'43""",12.2,2.78,1.79,175.31,64.54,-45.08,20231103
58,8,127,127 Johanna (A872 VB),13:29,14:59,16:29,02:59,02:14:02,"+14 56'35""",12.2,2.73,1.74,176.10,63.42,-43.64,20231103
59,9,595,595 Polyxena (A906 FL),13:07,15:05,17:03,03:56,02:20:13,"+21 35'04""",12.6,3.22,2.23,172.81,59.54,-37.00,20231103
60,10,21,21 Lutetia (A852 VA),14:13,15:22,16:30,02:16,02:36:49,"+11 32'05""",9.96,2.24,1.25,176.36,59.81,-43.91,20231103
61,11,447,447 Valentine (A899 UD),14:16,15:23,16:30,02:13,02:38:08,"+11 22'19""",12.9,2.85,1.86,176.06,59.59,-43.87,20231103
62,12,93,93 Minerva (A867 QA),13:27,15:37,17:46,04:18,02:51:55,"+25 18'03""",12.1,2.94,1.97,168.32,51.46,-30.32,20231103
63,13,119,119 Althaea (A872 GA),14:17,15:37,16:56,02:39,02:52:00,"+13 09'50""",11.3,2.39,1.40,174.45,55.76,-40.48,20231103
64,14,132,132 Aethra (A873 LA),13:21,15:54,18:27,05:06,03:09:03,"+39 01'44""",12.6,2.50,1.57,154.30,45.54,-16.69,20231103
65,15,241,241 Germania (A884 RA),14:04,16:10,18:17,04:13,03:25:42,"+24 19'22""",12.0,2.86,1.90,163.83,44.37,-26.77,20231103
66,16,139,139 Juewa (A874 TA),13:49,16:12,18:35,04:46,03:27:18,"+31 32'02""",12.4,2.93,1.99,158.77,42.53,-20.83,20231103
67,17,409,409 Aspasia (A895 XC),14:10,16:12,18:15,04:04,03:27:41,"+22 47'59""",11.5,2.76,1.79,164.22,44.36,-27.68,20231103
68,18,154,154 Bertha (A875 VD),14:02,16:17,18:32,04:30,03:32:22,"+27 32'58""",12.8,3.41,2.45,160.72,42.14,-23.31,20231103
69,19,144,144 Vibilia (A875 LA),14:55,16:28,18:02,03:06,03:43:37,"+15 34'04""",10.6,2.11,1.15,162.26,43.39,-30.56,20231103
70,20,895,895 Helio (A918 NA),14:00,16:34,19:08,05:08,03:49:25,"+40 39'50""",12.7,2.79,1.89,148.91,37.84,-10.88,20231103
71,21,363,363 Padua (A893 FD),15:01,16:50,18:39,03:38,04:05:37,"+19 07'01""",12.9,2.62,1.68,156.78,37.18,-24.32,20231103
72,22,182,182 Elsa (A878 CC),15:09,16:52,18:35,03:25,04:07:06,"+17 38'18""",11.4,1.97,1.02,156.57,37.41,-25.07,20231103
73,23,481,481 Emita (A902 CB),15:12,16:52,18:31,03:18,04:06:56,"+16 49'46""",12.0,2.31,1.36,156.65,37.77,-25.65,20231103
74,24,24,24 Themis (A853 GA),14:57,16:55,18:52,03:54,04:09:52,"+21 23'59""",11.9,3.09,2.16,155.44,35.47,-22.04,20231103
75,25,503,503 Evelyn (A903 BL),15:13,17:04,18:55,03:41,04:19:26,"+19 30'45""",12.8,2.40,1.47,153.50,34.00,-21.65,20231103
76,26,70,70 Panopaea (A861 JA),14:59,17:06,19:14,04:15,04:21:44,"+24 38'31""",12.4,2.74,1.82,152.03,31.95,-17.83,20231103
77,27,65,65 Cybele (A861 EB),15:28,17:08,18:47,03:19,04:23:17,"+16 52'02""",12.7,3.82,2.91,152.73,34.19,-22.67,20231103
78,28,113,113 Amalthea (A871 EA),15:45,17:11,18:38,02:53,04:26:34,"+14 20'44""",12.2,2.54,1.62,151.85,34.63,-23.65,20231103
79,29,346,346 Hermentaria (A892 WC),15:54,17:21,18:48,02:53,04:36:17,"+14 22'35""",11.2,2.55,1.65,149.50,32.55,-21.78,20231103
80,30,306,306 Unitas (A891 EA),16:24,17:23,18:22,01:57,04:38:29,"+10 23'44""",12.4,2.41,1.51,148.41,34.23,-23.72,20231103
81,31,358,358 Apollonia (A893 EC),15:47,17:27,19:08,03:20,04:42:52,"+17 02'18""",12.8,2.44,1.54,148.05,29.90,-18.90,20231103
82,32,95,95 Arethusa (A867 WA),15:29,17:32,19:35,04:05,04:47:19,"+23 04'13""",12.1,2.63,1.74,146.61,26.70,-14.38,20231103
83,33,758,758 Mancunia (A912 KB),15:56,17:34,19:13,03:16,04:49:57,"+16 33'38""",12.6,2.72,1.83,146.34,28.62,-17.83,20231103
84,34,480,480 Hansa (A901 KB),15:50,17:42,19:34,03:43,04:57:35,"+19 48'24""",12.2,2.54,1.66,144.52,25.57,-14.45,20231103
85,35,498,498 Tokio (A902 XA),16:42,18:19,19:56,03:13,05:34:56,"+16 19'32""",12.9,2.50,1.69,135.56,19.68,-9.02,20231103
86,36,389,389 Industria (A894 EE),16:04,18:23,20:43*,04:23,05:38:44,"+29 32'13""",12.4,2.69,1.90,134.27,14.40,-1.25,20231103
87,37,37,37 Fides (A855 TB),16:40,18:55,21:10*,03:47,06:10:47,"+27 36'57""",10.8,2.18,1.43,127.43,7.352,3.85,20231103
88,38,488,488 Kreusa (A902 MC),16:58,18:57,20:56*,03:29,06:12:44,"+21 56'45""",13.0,3.03,2.32,126.98,9.224,1.52,20231103
89,39,704,704 Interamnia (A910 TC),16:32,18:58,21:24*,03:55,06:13:40,"+33 15'56""",11.0,2.77,2.06,126.41,8.478,7.07,20231103
90,40,776,776 Berbericia (A914 BE),17:10,19:10,21:10*,03:17,06:25:35,"+22 07'17""",11.9,2.58,1.89,124.01,7.086,4.24,20231103
91,41,9,9 Metis (A848 HA),17:10,19:15,21:21*,03:17,06:30:53,"+23 54'09""",9.70,2.09,1.38,122.89,4.929,6.13,20231103
92,42,4,4 Vesta (A807 FA),17:27,19:16,21:05*,03:00,06:31:41,"+19 02'50""",7.44,2.57,1.90,122.34,9.244,4.09,20231103
93,43,48,48 Doris (A857 SA),17:59,19:28,20:58*,02:28,06:44:10,"+14 50'59""",12.2,2.91,2.29,118.84,13.00,4.85,20231103
94,44,258,258 Tyche (A886 JA),19:09,19:28,19:46,00:36,06:43:34,"+07 36'01""",12.4,2.39,1.77,117.62,20.25,1.44,20231103
95,45,5,5 Astraea (A845 XA),17:54,19:31,21:07*,02:33,06:46:17,"+16 19'20""",10.9,2.29,1.64,118.55,11.54,5.97,20231103
96,46,92,92 Undina (A867 NA),18:34,20:28*,22:22*,01:53,07:44:20,"+20 26'27""",12.6,3.32,2.91,105.61,15.61,20.21,20231103
97,47,128,128 Nemesis (A872 WA),19:18,21:17*,23:17*,01:09,08:33:19,"+22 02'36""",12.8,2.67,2.40,94.78,25.39,31.45,20231103
98,48,78,78 Diana (A863 EA),19:16,21:29*,23:42*,01:11,08:44:46,"+26 41'51""",12.7,2.13,1.83,93.42,26.79,35.32,20231103
99,49,71,71 Niobe (A861 PA),19:12,21:35*,23:58*,01:15,08:50:55,"+31 22'50""",12.5,2.92,2.69,93.34,27.71,37.73,20231103
100,0,602,602 Marianna (A906 DJ),10:44,12:02,13:20,02:36,23:20:20,"+12 57'33""",12.4,2.31,1.51,133.05,113.5,-44.20,20231104
101,1,678,678 Fredegundis (A909 BQ),11:33,12:36,13:39,02:06,23:54:33,"+10 55'33""",12.2,2.03,1.16,140.97,107.7,-49.54,20231104
102,2,120,120 Lachesis (A872 GB),12:18,13:43,15:08,02:49,01:02:01,"+14 02'32""",12.8,3.28,2.34,157.71,91.95,-48.90,20231104
103,3,639,639 Latona (A907 OA),12:01,13:58,15:55,03:54,01:16:46,"+21 23'04""",12.4,2.75,1.80,160.62,85.46,-41.27,20231104
104,4,123,123 Brunhild (A872 OB),12:15,14:10,16:05,03:50,01:28:51,"+20 47'04""",12.3,2.43,1.46,163.49,83.19,-41.42,20231104
105,5,135,135 Hertha (A874 DA),12:55,14:15,15:35,02:39,01:33:41,"+13 11'30""",10.9,2.16,1.19,165.24,85.48,-48.59,20231104
106,6,122,122 Gerda (A872 OA),13:37,14:27,15:17,01:39,01:45:32,"+09 31'27""",12.4,3.25,2.28,166.90,84.49,-51.29,20231104
107,7,509,509 Iolanda (A903 HD),13:30,14:52,16:13,02:43,02:10:39,"+13 29'09""",12.2,2.78,1.80,174.10,77.23,-45.30,20231104
108,8,127,127 Johanna (A872 VB),13:24,14:54,16:24,02:59,02:13:04,"+14 54'44""",12.2,2.73,1.74,174.92,76.11,-43.76,20231104
109,9,595,595 Polyxena (A906 FL),13:02,15:00,16:58,03:56,02:19:16,"+21 34'54""",12.6,3.22,2.24,172.64,72.13,-37.09,20231104
110,10,21,21 Lutetia (A852 VA),14:09,15:17,16:25,02:15,02:35:48,"+11 28'49""",9.97,2.24,1.25,176.35,72.47,-44.09,20231104
111,11,447,447 Valentine (A899 UD),14:12,15:18,16:25,02:13,02:37:16,"+11 19'42""",12.9,2.85,1.86,176.14,72.21,-44.03,20231104
112,12,93,93 Minerva (A867 QA),13:23,15:32,17:41,04:18,02:50:56,"+25 16'10""",12.1,2.95,1.97,169.10,64.04,-30.46,20231104
113,13,119,119 Althaea (A872 GA),14:13,15:32,16:51,02:37,02:51:07,"+13 03'01""",11.3,2.39,1.40,175.39,68.42,-40.70,20231104
114,14,132,132 Aethra (A873 LA),13:16,15:49,18:22,05:05,03:07:54,"+38 53'04""",12.5,2.50,1.57,155.09,57.22,-16.93,20231104
115,15,241,241 Germania (A884 RA),13:59,16:06,18:12,04:12,03:24:52,"+24 15'33""",11.9,2.86,1.89,164.96,57.01,-26.94,20231104
116,16,139,139 Juewa (A874 TA),13:44,16:07,18:30,04:46,03:26:18,"+31 32'32""",12.4,2.93,1.98,159.70,54.87,-20.94,20231104
117,17,409,409 Aspasia (A895 XC),14:06,16:08,18:09,04:03,03:26:48,"+22 41'29""",11.5,2.76,1.79,165.42,57.05,-27.89,20231104
118,18,154,154 Bertha (A875 VD),13:57,16:12,18:27,04:30,03:31:27,"+27 35'15""",12.7,3.41,2.45,161.75,54.69,-23.41,20231104
119,19,144,144 Vibilia (A875 LA),14:50,16:24,17:57,03:06,03:42:44,"+15 33'36""",10.6,2.12,1.15,163.44,55.91,-30.72,20231104
120,20,895,895 Helio (A918 NA),13:55,16:29,19:04,05:08,03:48:34,"+40 33'17""",12.6,2.79,1.89,149.84,49.27,-11.07,20231104
121,21,363,363 Padua (A893 FD),14:56,16:46,18:35,03:38,04:04:49,"+19 06'48""",12.9,2.62,1.68,157.97,49.74,-24.47,20231104
122,22,182,182 Elsa (A878 CC),15:04,16:47,18:30,03:25,04:06:24,"+17 36'33""",11.4,1.97,1.01,157.73,49.88,-25.21,20231104
123,23,481,481 Emita (A902 CB),15:07,16:47,18:26,03:19,04:06:08,"+16 51'59""",11.9,2.31,1.36,157.82,50.20,-25.76,20231104
124,24,24,24 Themis (A853 GA),14:53,16:50,18:47,03:54,04:09:11,"+21 22'27""",11.9,3.09,2.16,156.60,48.06,-22.17,20231104
125,25,503,503 Evelyn (A903 BL),15:09,16:59,18:50,03:41,04:18:45,"+19 31'00""",12.7,2.40,1.47,154.66,46.49,-21.76,20231104
126,26,70,70 Panopaea (A861 JA),14:54,17:02,19:09,04:15,04:20:50,"+24 40'50""",12.3,2.74,1.82,153.20,44.61,-17.96,20231104
127,27,65,65 Cybele (A861 EB),15:24,17:03,18:43,03:18,04:22:41,"+16 49'56""",12.7,3.82,2.90,153.86,46.51,-22.80,20231104
128,28,113,113 Amalthea (A871 EA),15:40,17:06,18:33,02:52,04:25:49,"+14 18'08""",12.2,2.54,1.62,152.99,46.76,-23.82,20231104
129,29,346,346 Hermentaria (A892 WC),15:49,17:16,18:43,02:53,04:35:38,"+14 22'34""",11.2,2.55,1.64,150.63,44.55,-21.90,20231104
130,30,306,306 Unitas (A891 EA),16:20,17:18,18:17,01:56,04:37:44,"+10 19'57""",12.4,2.42,1.51,149.50,45.80,-23.90,20231104
131,31,358,358 Apollonia (A893 EC),15:43,17:23,19:03,03:20,04:42:22,"+16 59'25""",12.8,2.44,1.53,149.16,42.06,-19.03,20231104
132,32,95,95 Arethusa (A867 WA),15:25,17:27,19:30,04:05,04:46:47,"+22 58'22""",12.0,2.63,1.74,147.75,39.25,-14.53,20231104
133,33,758,758 Mancunia (A912 KB),15:52,17:30,19:08,03:16,04:49:27,"+16 32'54""",12.6,2.72,1.83,147.45,40.64,-17.93,20231104
134,34,480,480 Hansa (A901 KB),15:46,17:38,19:29,03:42,04:57:01,"+19 38'27""",12.2,2.54,1.66,145.66,37.89,-14.65,20231104
135,35,498,498 Tokio (A902 XA),16:38,18:15,19:52,03:14,05:34:30,"+16 20'27""",12.9,2.50,1.69,136.65,30.77,-9.10,20231104
136,36,389,389 Industria (A894 EE),15:59,18:19,20:38*,04:28,05:38:23,"+29 31'40""",12.4,2.69,1.89,135.33,26.88,-1.32,20231104
137,37,37,37 Fides (A855 TB),16:36,18:51,21:07*,03:52,06:10:57,"+27 39'14""",10.8,2.18,1.42,128.39,19.77,3.90,20231104
138,38,488,488 Kreusa (A902 MC),16:54,18:53,20:52*,03:34,06:12:38,"+21 59'18""",13.0,3.03,2.31,128.00,20.33,1.52,20231104
139,39,704,704 Interamnia (A910 TC),16:28,18:54,21:20*,04:00,06:13:29,"+33 14'05""",11.0,2.77,2.05,127.43,19.83,7.02,20231104
140,40,776,776 Berbericia (A914 BE),17:06,19:06,21:06*,03:22,06:25:34,"+22 13'21""",11.9,2.58,1.88,125.02,17.41,4.28,20231104
141,41,4,4 Vesta (A807 FA),17:23,19:12,21:01*,03:05,06:31:41,"+19 03'27""",7.42,2.57,1.89,123.34,17.34,4.10,20231104
142,42,9,9 Metis (A848 HA),17:06,19:12,21:17*,03:22,06:31:13,"+23 57'14""",9.68,2.09,1.37,123.81,15.69,6.22,20231104
143,43,258,258 Tyche (A886 JA),19:11,19:24,19:37,00:25,06:43:40,"+07 27'04""",12.4,2.40,1.76,118.51,23.24,1.40,20231104
144,44,48,48 Doris (A857 SA),17:55,19:25,20:54*,02:32,06:44:16,"+14 48'01""",12.2,2.91,2.28,119.79,17.44,4.85,20231104
145,45,5,5 Astraea (A845 XA),17:50,19:27,21:04*,02:38,06:46:43,"+16 17'14""",10.9,2.29,1.63,119.44,16.00,6.05,20231104
146,46,92,92 Undina (A867 NA),18:31,20:25,22:19*,01:57,07:44:38,"+20 27'22""",12.6,3.32,2.90,106.54,6.140,20.28,20231104
147,47,128,128 Nemesis (A872 WA),19:15,21:14*,23:14*,01:13,08:34:07,"+22 02'23""",12.8,2.67,2.38,95.60,13.16,31.62,20231104
148,48,78,78 Diana (A863 EA),19:13,21:26*,23:39*,01:14,08:46:11,"+26 37'41""",12.6,2.13,1.82,94.08,14.84,35.61,20231104
149,49,71,71 Niobe (A861 PA),19:09,21:32*,23:54*,01:19,08:51:37,"+31 20'08""",12.4,2.92,2.67,94.15,16.43,37.87,20231104
150,0,602,602 Marianna (A906 DJ),10:40,11:58,13:16,02:36,23:20:17,"+12 57'22""",12.4,2.31,1.52,132.11,124.9,-44.19,20231105
151,1,678,678 Fredegundis (A909 BQ),11:29,12:32,13:35,02:05,23:54:28,"+10 50'23""",12.2,2.03,1.17,139.97,119.6,-49.62,20231105
152,2,120,120 Lachesis (A872 GB),12:14,13:39,15:03,02:49,01:01:22,"+13 58'49""",12.8,3.28,2.34,156.59,104.2,-48.97,20231105
153,3,639,639 Latona (A907 OA),11:56,13:53,15:50,03:54,01:16:06,"+21 16'14""",12.4,2.75,1.80,159.72,97.54,-41.40,20231105
154,4,123,123 Brunhild (A872 OB),12:10,14:05,16:00,03:49,01:28:02,"+20 41'24""",12.3,2.43,1.46,162.56,95.38,-41.55,20231105
155,5,135,135 Hertha (A874 DA),12:51,14:10,15:29,02:38,01:32:53,"+13 07'05""",11.0,2.16,1.19,164.05,97.85,-48.71,20231105
156,6,122,122 Gerda (A872 OA),13:33,14:22,15:11,01:38,01:44:50,"+09 27'19""",12.5,3.25,2.28,165.72,96.84,-51.41,20231105
157,7,509,509 Iolanda (A903 HD),13:26,14:47,16:08,02:41,02:09:57,"+13 19'37""",12.2,2.79,1.80,172.88,89.63,-45.52,20231105
158,8,127,127 Johanna (A872 VB),13:20,14:49,16:19,02:59,02:12:07,"+14 52'53""",12.2,2.73,1.75,173.72,88.50,-43.89,20231105
159,9,595,595 Polyxena (A906 FL),12:57,14:55,16:53,03:56,02:18:19,"+21 34'40""",12.6,3.22,2.24,172.27,84.44,-37.19,20231105
160,10,21,21 Lutetia (A852 VA),14:04,15:12,16:19,02:14,02:34:48,"+11 25'35""",9.99,2.24,1.25,175.93,84.85,-44.27,20231105
161,11,447,447 Valentine (A899 UD),14:07,15:13,16:20,02:12,02:36:25,"+11 17'06""",12.9,2.85,1.86,175.85,84.54,-44.18,20231105
162,12,93,93 Minerva (A867 QA),13:18,15:27,17:36,04:18,02:49:55,"+25 14'09""",12.1,2.95,1.97,169.80,76.35,-30.61,20231105
163,13,119,119 Althaea (A872 GA),14:09,15:27,16:45,02:36,02:50:14,"+12 56'12""",11.3,2.39,1.40,176.14,80.78,-40.91,20231105
164,14,132,132 Aethra (A873 LA),13:11,15:44,18:17,05:05,03:06:45,"+38 44'02""",12.5,2.50,1.56,155.85,68.90,-17.18,20231105
165,15,241,241 Germania (A884 RA),13:55,16:01,18:07,04:12,03:24:02,"+24 11'38""",11.9,2.86,1.89,166.08,69.36,-27.11,20231105
166,16,139,139 Juewa (A874 TA),13:39,16:02,18:26,04:46,03:25:19,"+31 32'52""",12.4,2.93,1.98,160.60,67.02,-21.07,20231105
167,17,409,409 Aspasia (A895 XC),14:01,16:03,18:04,04:02,03:25:53,"+22 34'53""",11.5,2.76,1.79,166.62,69.45,-28.11,20231105
168,18,154,154 Bertha (A875 VD),13:52,16:07,18:23,04:30,03:30:30,"+27 37'26""",12.7,3.40,2.44,162.77,66.97,-23.51,20231105
169,19,90,90 Antiope (A866 TA),14:25,16:10,17:55,03:29,03:33:30,"+18 06'30""",13.0,3.11,2.14,166.46,69.20,-30.37,20231105
170,20,144,144 Vibilia (A875 LA),14:46,16:19,17:52,03:06,03:41:51,"+15 33'08""",10.6,2.12,1.14,164.63,68.18,-30.87,20231105
171,21,895,895 Helio (A918 NA),13:50,16:25,18:59,05:08,03:47:41,"+40 26'27""",12.6,2.79,1.88,150.75,60.83,-11.26,20231105
172,22,363,363 Padua (A893 FD),14:52,16:41,18:30,03:38,04:03:59,"+19 06'34""",12.9,2.62,1.67,159.17,62.04,-24.61,20231105
173,23,182,182 Elsa (A878 CC),15:00,16:42,18:25,03:25,04:05:41,"+17 34'46""",11.3,1.97,1.01,158.89,62.12,-25.36,20231105
174,24,481,481 Emita (A902 CB),15:02,16:42,18:22,03:19,04:05:19,"+16 54'12""",11.9,2.31,1.35,159.00,62.42,-25.88,20231105
